Ticker,Close_Price,Date_Price
AAPL,172.56044006347656,2022-04-01
AAPL,176.64901733398438,2022-04-04
AAPL,173.30291748046875,2022-04-05
AAPL,170.1053466796875,2022-04-06
AAPL,170.41224670410156,2022-04-07
AAPL,168.38282775878906,2022-04-08
AAPL,164.08636474609375,2022-04-11
AAPL,165.97720336914062,2022-04-12
AAPL,168.689697265625,2022-04-13
AAPL,163.6309814453125,2022-04-14
AAPL,163.41319274902344,2022-04-18
AAPL,165.7197723388672,2022-04-19
AAPL,165.55152893066406,2022-04-20
AAPL,164.74964904785156,2022-04-21
AAPL,160.16610717773438,2022-04-22
AAPL,161.2451629638672,2022-04-25
AAPL,155.2261962890625,2022-04-26
AAPL,154.99851989746094,2022-04-27
AAPL,161.99754333496094,2022-04-28
AAPL,156.06764221191406,2022-04-29
AAPL,156.3745574951172,2022-05-02
AAPL,157.87928771972656,2022-05-03
AAPL,164.35366821289062,2022-05-04
AAPL,155.19651794433594,2022-05-05
AAPL,155.9301300048828,2022-05-06
AAPL,150.75494384765625,2022-05-09
AAPL,153.18389892578125,2022-05-10
AAPL,145.24267578125,2022-05-11
AAPL,141.3364715576172,2022-05-12
AAPL,145.84744262695312,2022-05-13
AAPL,144.29090881347656,2022-05-16
AAPL,147.9591522216797,2022-05-17
AAPL,139.61141967773438,2022-05-18
AAPL,136.1711883544922,2022-05-19
AAPL,136.4091339111328,2022-05-20
AAPL,141.88177490234375,2022-05-23
AAPL,139.15536499023438,2022-05-24
AAPL,139.31399536132812,2022-05-25
AAPL,142.54598999023438,2022-05-26
AAPL,148.355712890625,2022-05-27
AAPL,147.56259155273438,2022-05-31
AAPL,147.43368530273438,2022-06-01
AAPL,149.91224670410156,2022-06-02
AAPL,144.13229370117188,2022-06-03
AAPL,144.88577270507812,2022-06-06
AAPL,147.43368530273438,2022-06-07
AAPL,146.6901397705078,2022-06-08
AAPL,141.41578674316406,2022-06-09
AAPL,135.9530792236328,2022-06-10
AAPL,130.74813842773438,2022-06-13
AAPL,131.62059020996094,2022-06-14
AAPL,134.26768493652344,2022-06-15
AAPL,128.94375610351562,2022-06-16
AAPL,130.43087768554688,2022-06-17
AAPL,134.7039031982422,2022-06-21
AAPL,134.18838500976562,2022-06-22
AAPL,137.0832977294922,2022-06-23
AAPL,140.44419860839844,2022-06-24
AAPL,140.44419860839844,2022-06-27
AAPL,136.2604217529297,2022-06-28
AAPL,138.03506469726562,2022-06-29
AAPL,135.54660034179688,2022-06-30
AAPL,137.73760986328125,2022-07-01
AAPL,140.34506225585938,2022-07-05
AAPL,141.6934051513672,2022-07-06
AAPL,145.0939483642578,2022-07-07
AAPL,145.77801513671875,2022-07-08
AAPL,143.62664794921875,2022-07-11
AAPL,144.608154296875,2022-07-12
AAPL,144.2413330078125,2022-07-13
AAPL,147.1957550048828,2022-07-14
AAPL,148.88116455078125,2022-07-15
AAPL,145.80776977539062,2022-07-18
AAPL,149.70404052734375,2022-07-19
AAPL,151.7265167236328,2022-07-20
AAPL,154.0167236328125,2022-07-21
AAPL,152.76751708984375,2022-07-22
AAPL,151.63731384277344,2022-07-25
AAPL,150.2989044189453,2022-07-26
AAPL,155.4443359375,2022-07-27
AAPL,155.99954223632812,2022-07-28
AAPL,161.11526489257812,2022-07-29
AAPL,160.12384033203125,2022-08-01
AAPL,158.63670349121094,2022-08-02
AAPL,164.70419311523438,2022-08-03
AAPL,164.38694763183594,2022-08-04
AAPL,164.1586151123047,2022-08-05
AAPL,163.68203735351562,2022-08-08
AAPL,163.731689453125,2022-08-09
AAPL,168.02056884765625,2022-08-10
AAPL,167.27597045898438,2022-08-11
AAPL,170.85995483398438,2022-08-12
AAPL,171.94210815429688,2022-08-15
AAPL,171.78326416015625,2022-08-16
AAPL,173.29229736328125,2022-08-17
AAPL,172.89517211914062,2022-08-18
AAPL,170.2841339111328,2022-08-19
AAPL,166.36260986328125,2022-08-22
AAPL,166.02505493164062,2022-08-23
AAPL,166.32289123535156,2022-08-24
AAPL,168.80487060546875,2022-08-25
AAPL,162.4410400390625,2022-08-26
AAPL,160.21722412109375,2022-08-29
AAPL,157.76499938964844,2022-08-30
AAPL,156.08717346191406,2022-08-31
AAPL,156.82186889648438,2022-09-01
AAPL,154.6873321533203,2022-09-02
AAPL,153.41656494140625,2022-09-06
AAPL,154.8362579345703,2022-09-07
AAPL,153.34707641601562,2022-09-08
AAPL,156.236083984375,2022-09-09
AAPL,162.25242614746094,2022-09-12
AAPL,152.73153686523438,2022-09-13
AAPL,154.19091796875,2022-09-14
AAPL,151.27212524414062,2022-09-15
AAPL,149.61415100097656,2022-09-16
AAPL,153.3668975830078,2022-09-19
AAPL,155.76947021484375,2022-09-20
AAPL,152.61239624023438,2022-09-21
AAPL,151.6394500732422,2022-09-22
AAPL,149.34608459472656,2022-09-23
AAPL,149.6836395263672,2022-09-26
AAPL,150.66651916503906,2022-09-27
AAPL,148.76034545898438,2022-09-28
AAPL,141.45339965820312,2022-09-29
AAPL,137.20420837402344,2022-09-30
AAPL,141.423583984375,2022-10-03
AAPL,145.0473175048828,2022-10-04
AAPL,145.34512329101562,2022-10-05
AAPL,144.38211059570312,2022-10-06
AAPL,139.08059692382812,2022-10-07
AAPL,139.40823364257812,2022-10-10
AAPL,137.97860717773438,2022-10-11
AAPL,137.3432159423828,2022-10-12
AAPL,141.959716796875,2022-10-13
AAPL,137.3829345703125,2022-10-14
AAPL,141.3839111328125,2022-10-17
AAPL,142.7142333984375,2022-10-18
AAPL,142.82342529296875,2022-10-19
AAPL,142.35682678222656,2022-10-20
AAPL,146.20887756347656,2022-10-21
AAPL,148.37315368652344,2022-10-24
AAPL,151.24232482910156,2022-10-25
AAPL,148.2738800048828,2022-10-26
AAPL,143.7566680908203,2022-10-27
AAPL,154.61785888671875,2022-10-28
AAPL,152.235107421875,2022-10-31
AAPL,149.5644989013672,2022-11-01
AAPL,143.98501586914062,2022-11-02
AAPL,137.87933349609375,2022-11-03
AAPL,137.61082458496094,2022-11-04
AAPL,138.14781188964844,2022-11-07
AAPL,138.72459411621094,2022-11-08
AAPL,134.12033081054688,2022-11-09
AAPL,146.0536346435547,2022-11-10
AAPL,148.86790466308594,2022-11-11
AAPL,147.45578002929688,2022-11-14
AAPL,149.2060089111328,2022-11-15
AAPL,147.96295166015625,2022-11-16
AAPL,149.88223266601562,2022-11-17
AAPL,150.44906616210938,2022-11-18
AAPL,147.18728637695312,2022-11-21
AAPL,149.34521484375,2022-11-22
AAPL,150.2303009033203,2022-11-23
AAPL,147.2867431640625,2022-11-25
AAPL,143.4183807373047,2022-11-28
AAPL,140.38531494140625,2022-11-29
AAPL,147.20718383789062,2022-11-30
AAPL,147.48561096191406,2022-12-01
AAPL,146.9884033203125,2022-12-02
AAPL,145.8149871826172,2022-12-05
AAPL,142.11563110351562,2022-12-06
AAPL,140.15660095214844,2022-12-07
AAPL,141.85708618164062,2022-12-08
AAPL,141.36981201171875,2022-12-09
AAPL,143.68685913085938,2022-12-12
AAPL,144.6614227294922,2022-12-13
AAPL,142.4139862060547,2022-12-14
AAPL,135.74127197265625,2022-12-15
AAPL,133.7623291015625,2022-12-16
AAPL,131.6342315673828,2022-12-19
AAPL,131.56463623046875,2022-12-20
AAPL,134.69712829589844,2022-12-21
AAPL,131.4949951171875,2022-12-22
AAPL,131.12705993652344,2022-12-23
AAPL,129.30723571777344,2022-12-27
AAPL,125.33941650390624,2022-12-28
AAPL,128.8895721435547,2022-12-29
AAPL,129.20777893066406,2022-12-30
AAVEUSDT,266.4,2022-01-01
AAVEUSDT,265.3,2022-01-02
AAVEUSDT,267.2,2022-01-03
AAVEUSDT,252.1,2022-01-04
AAVEUSDT,230.3,2022-01-05
AAVEUSDT,221.0,2022-01-06
AAVEUSDT,211.7,2022-01-07
AAVEUSDT,212.3,2022-01-08
AAVEUSDT,209.5,2022-01-09
AAVEUSDT,199.9,2022-01-10
AAVEUSDT,213.3,2022-01-11
AAVEUSDT,218.5,2022-01-12
AAVEUSDT,209.3,2022-01-13
AAVEUSDT,223.9,2022-01-14
AAVEUSDT,238.4,2022-01-15
AAVEUSDT,242.5,2022-01-16
AAVEUSDT,226.6,2022-01-17
AAVEUSDT,232.4,2022-01-18
AAVEUSDT,210.2,2022-01-19
AAVEUSDT,198.4,2022-01-20
AAVEUSDT,171.0,2022-01-21
AAVEUSDT,146.9,2022-01-22
AAVEUSDT,158.4,2022-01-23
AAVEUSDT,152.5,2022-01-24
AAVEUSDT,151.8,2022-01-25
AAVEUSDT,146.5,2022-01-26
AAVEUSDT,144.5,2022-01-27
AAVEUSDT,149.0,2022-01-28
AAVEUSDT,154.0,2022-01-29
AAVEUSDT,148.9,2022-01-30
AAVEUSDT,157.5,2022-01-31
AAVEUSDT,163.7,2022-02-01
AAVEUSDT,151.2,2022-02-02
AAVEUSDT,153.0,2022-02-03
AAVEUSDT,166.8,2022-02-04
AAVEUSDT,166.2,2022-02-05
AAVEUSDT,173.5,2022-02-06
AAVEUSDT,182.1,2022-02-07
AAVEUSDT,183.9,2022-02-08
AAVEUSDT,188.0,2022-02-09
AAVEUSDT,175.4,2022-02-10
AAVEUSDT,163.6,2022-02-11
AAVEUSDT,162.4,2022-02-12
AAVEUSDT,158.1,2022-02-13
AAVEUSDT,161.0,2022-02-14
AAVEUSDT,172.2,2022-02-15
AAVEUSDT,170.5,2022-02-16
AAVEUSDT,153.0,2022-02-17
AAVEUSDT,145.5,2022-02-18
AAVEUSDT,146.2,2022-02-19
AAVEUSDT,137.6,2022-02-20
AAVEUSDT,128.6,2022-02-21
AAVEUSDT,134.7,2022-02-22
AAVEUSDT,130.6,2022-02-23
AAVEUSDT,125.4,2022-02-24
AAVEUSDT,139.5,2022-02-25
AAVEUSDT,136.6,2022-02-26
AAVEUSDT,131.6,2022-02-27
AAVEUSDT,145.8,2022-02-28
AAVEUSDT,143.3,2022-03-01
AAVEUSDT,137.7,2022-03-02
AAVEUSDT,130.0,2022-03-03
AAVEUSDT,124.2,2022-03-04
AAVEUSDT,124.6,2022-03-05
AAVEUSDT,116.7,2022-03-06
AAVEUSDT,116.8,2022-03-07
AAVEUSDT,121.6,2022-03-08
AAVEUSDT,127.6,2022-03-09
AAVEUSDT,119.2,2022-03-10
AAVEUSDT,116.6,2022-03-11
AAVEUSDT,120.4,2022-03-12
AAVEUSDT,115.7,2022-03-13
AAVEUSDT,118.4,2022-03-14
AAVEUSDT,122.1,2022-03-15
AAVEUSDT,141.7,2022-03-16
AAVEUSDT,155.6,2022-03-17
AAVEUSDT,160.1,2022-03-18
AAVEUSDT,157.2,2022-03-19
AAVEUSDT,152.6,2022-03-20
AAVEUSDT,153.9,2022-03-21
AAVEUSDT,152.9,2022-03-22
AAVEUSDT,156.0,2022-03-23
AAVEUSDT,168.1,2022-03-24
